shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP_30430_0,6.209328,102.137878,25
SHP_30430_0,6.210447,102.133567,26
SHP_30430_0,6.214578,102.127575,27
SHP_30430_0,6.217,102.122461,28
SHP_30430_0,6.2181,102.117472,29
SHP_30430_0,6.221739,102.109547,30
SHP_30430_0,6.22565,102.103481,31
SHP_30430_0,6.228872,102.098347,32
SHP_30430_0,6.230189,102.095792,33
SHP_30430_0,6.232808,102.092083,34
SHP_30431_0,6.128142,102.239464,1
SHP_30431_0,6.126106,102.242122,2
SHP_30431_0,6.125139,102.240944,3
SHP_30431_0,6.125153,102.238242,4
SHP_30431_0,6.122772,102.238867,5
SHP_30431_0,6.121731,102.239672,6
SHP_30431_0,6.119722,102.240775,7
SHP_30431_0,6.118192,102.241778,8
SHP_30431_0,6.116031,102.24235,9
SHP_30431_0,6.112972,102.242119,10
SHP_30431_0,6.110972,102.241778,11
SHP_30431_0,6.107222,102.240983,12
SHP_30431_0,6.104586,102.240436,13
SHP_30431_0,6.099453,102.240244,14
SHP_30431_0,6.096431,102.239833,15
SHP_30431_0,6.091614,102.239017,16
SHP_30431_0,6.088078,102.238694,17
SHP_30431_0,6.086647,102.238697,18
SHP_30431_0,6.084658,102.236869,19
SHP_30431_0,6.084019,102.234222,20
SHP_30431_0,6.082728,102.230453,21
SHP_30431_0,6.078894,102.228128,22
SHP_30431_0,6.075986,102.227461,23
SHP_30431_0,6.072656,102.226842,24
SHP_30431_0,6.066975,102.226028,25
SHP_30431_0,6.062414,102.2229,26
SHP_30431_0,6.059264,102.220922,27
SHP_30431_0,6.058044,102.220258,28
SHP_30431_0,6.053578,102.217678,29
SHP_30431_0,6.052353,102.217556,30
SHP_30431_0,6.050244,102.215939,31
SHP_30431_0,6.048739,102.214247,32
SHP_30431_0,6.046547,102.212386,33
SHP_30431_0,6.042453,102.207086,34
SHP_30431_0,6.04245,102.202047,35
SHP_30431_0,6.040778,102.198133,36
SHP_30431_0,6.039142,102.194167,37
SHP_30431_0,6.038964,102.192467,38
SHP_30431_0,6.038769,102.1898,39
SHP_30431_0,6.038247,102.186569,40
SHP_30431_0,6.037231,102.183344,41
SHP_30431_0,6.036347,102.180578,42
SHP_30431_0,6.035436,102.1771,43
SHP_30431_0,6.034747,102.173933,44
SHP_30431_0,6.033733,102.168422,45
SHP_30431_0,6.033019,102.163906,46
SHP_30431_0,6.033411,102.15915,47
SHP_30431_0,6.034358,102.153992,48
SHP_30431_0,6.033686,102.150036,49
SHP_30431_0,6.030747,102.141422,50
SHP_30431_0,6.034036,102.140997,51
SHP_30431_0,6.039656,102.141497,52
SHP_30431_0,6.043456,102.143536,53
SHP_30431_0,6.039408,102.141439,54
SHP_30431_0,6.034072,102.141156,55
SHP_30431_0,6.032219,102.141483,56
SHP_30431_0,6.028756,102.136978,57
SHP_30431_0,6.029278,102.131111,58
SHP_30432_0,6.128142,102.239464,1
SHP_30432_0,6.126106,102.242122,2
SHP_30432_0,6.125139,102.240944,3
SHP_30432_0,6.125153,102.238242,4
SHP_30432_0,6.122772,102.238867,5
SHP_30432_0,6.121731,102.239672,6
SHP_30432_0,6.119722,102.240775,7
SHP_30432_0,6.118192,102.241778,8
SHP_30432_0,6.116503,102.2405,9
SHP_30432_0,6.116672,102.239419,10
SHP_30432_0,6.116928,102.222919,11
SHP_30432_0,6.118225,102.22035,12
SHP_30432_0,6.118931,102.217358,13
SHP_30432_0,6.117617,102.215356,14
SHP_30432_0,6.116097,102.214839,15
SHP_30432_0,6.112114,102.213722,16
SHP_30432_0,6.109353,102.212892,17
SHP_30432_0,6.104497,102.211517,18
SHP_30432_0,6.099367,102.209894,19
SHP_30432_0,6.094517,102.208653,20
SHP_30432_0,6.089722,102.207819,21
SHP_30432_0,6.083381,102.207094,22
SHP_30432_0,6.076656,102.208522,23
SHP_30432_0,6.072706,102.207728,24
SHP_30432_0,6.068553,102.206456,25
SHP_30432_0,6.068861,102.203261,26
SHP_30432_0,6.072869,102.197986,27
SHP_30432_0,6.074578,102.194117,28
SHP_30432_0,6.076581,102.191725,29
SHP_30432_0,6.078456,102.189669,30
SHP_30432_0,6.082531,102.184856,31
SHP_30432_0,6.086803,102.180597,32
SHP_30432_0,6.089647,102.178903,33
SHP_30432_0,6.091339,102.177886,34
SHP_30432_0,6.095561,102.176142,35
SHP_30432_0,6.097489,102.173703,36
SHP_30432_0,6.099128,102.169681,37
SHP_30432_0,6.102336,102.164997,38
SHP_30432_0,6.105514,102.159161,39
SHP_30432_0,6.105572,102.156619,40
SHP_30432_0,6.105808,102.154861,41
SHP_30432_0,6.105864,102.148378,42
SHP_30432_0,6.106164,102.145728,43
SHP_30432_0,6.106833,102.140553,44
SHP_30432_0,6.107525,102.137344,45
SHP_30432_0,6.107811,102.128803,46
SHP_30432_0,6.110086,102.123222,47
SHP_30432_0,6.115453,102.12015,48
SHP_30432_0,6.11765,102.118933,49
SHP_30432_0,6.114242,102.115475,50
SHP_30432_0,6.104114,102.107336,51
SHP_30432_0,6.100544,102.106828,52
SHP_30432_0,6.096236,102.102375,53
SHP_30432_0,6.092081,102.100967,54
SHP_30432_0,6.086203,102.097956,55
SHP_30432_0,6.084194,102.096172,56
SHP_30432_0,6.079583,102.088758,57
SHP_30432_0,6.075994,102.083303,58
SHP_30432_0,6.069892,102.079297,59
SHP_30432_0,6.063569,102.079675,60
SHP_30432_0,6.062556,102.080936,61
SHP_30432_0,6.059319,102.08985,62
SHP_30432_0,6.057839,102.092606,63
SHP_30432_0,6.055069,102.096767,64
SHP_30432_0,6.053508,102.100086,65
SHP_30432_0,6.051186,102.105461,66
SHP_30432_0,6.051486,102.112342,67
SHP_30432_0,6.051878,102.115536,68
SHP_30432_0,6.051722,102.117483,69
SHP_30432_0,6.052211,102.128744,70
SHP_30432_0,6.050475,102.133072,71
SHP_30432_0,6.049881,102.135114,72
SHP_30432_0,6.047961,102.140614,73
SHP_30432_0,6.046742,102.142556,74
SHP_30432_0,6.043456,102.143536,75
SHP_30432_0,6.039656,102.141497,76
SHP_30432_0,6.034036,102.140997,77
SHP_30432_0,6.030747,102.141422,78
SHP_30432_0,6.028756,102.136978,79
SHP_30432_0,6.029278,102.131111,80


SHP_30425_1,6.147989,102.301042,1

SHP_30425_1,6.143489,102.299228,2

SHP_30425_1,6.145511,102.294486,3

SHP_30425_1,6.147264,102.293031,4

SHP_30425_1,6.148681,102.291719,5

SHP_30425_1,6.152153,102.288219,6

SHP_30425_1,6.156242,102.288819,7

SHP_30425_1,6.156322,102.2945,8

SHP_30425_1,6.155353,102.297658,9

SHP_30425_1,6.158461,102.299594,10

SHP_30425_1,6.158933,102.311031,11

SHP_30425_1,6.159581,102.306172,12

SHP_30425_1,6.160203,102.301056,13

SHP_30425_1,6.161856,102.292967,14

SHP_30425_1,6.161992,102.282686,15

SHP_30425_1,6.162392,102.277856,16

SHP_30425_1,6.160272,102.276358,17

SHP_30425_1,6.157892,102.275156,18

SHP_30425_1,6.156061,102.273228,19

SHP_30425_1,6.154892,102.271219,20

SHP_30425_1,6.152633,102.269864,21

SHP_30425_1,6.150606,102.269283,22

SHP_30425_1,6.147342,102.267853,23

SHP_30425_1,6.145853,102.267508,24

SHP_30425_1,6.144125,102.266767,25

SHP_30425_1,6.138342,102.26495,26

SHP_30425_1,6.136278,102.264014,27

SHP_30425_1,6.132419,102.257406,28

SHP_30425_1,6.130411,102.251047,29

SHP_30425_1,6.126106,102.242122,30

SHP_30425_1,6.125139,102.240944,31

SHP_30425_1,6.125153,102.238242,32

SHP_30425_1,6.127519,102.245078,33

SHP_30425_1,6.128142,102.239464,34

SHP_30426_1,6.174097,102.323169,1

SHP_30426_1,6.173453,102.320967,2

SHP_30426_1,6.171353,102.321006,3

SHP_30426_1,6.164903,102.322742,4

SHP_30426_1,6.161928,102.322881,5

SHP_30426_1,6.153469,102.317831,6

SHP_30426_1,6.14665,102.313925,7

SHP_30426_1,6.143853,102.311353,8

SHP_30426_1,6.139456,102.307397,9

SHP_30426_1,6.130486,102.302133,10

SHP_30426_1,6.130689,102.299925,11

SHP_30426_1,6.131517,102.298594,12

SHP_30426_1,6.133519,102.294861,13

SHP_30426_1,6.136817,102.288617,14

SHP_30426_1,6.137139,102.279578,15

SHP_30426_1,6.136803,102.274831,16

SHP_30426_1,6.136958,102.271717,17

SHP_30426_1,6.137331,102.269378,18

SHP_30426_1,6.136903,102.264686,19

SHP_30426_1,6.136278,102.264014,20

SHP_30426_1,6.132419,102.257406,21

SHP_30426_1,6.132661,102.254011,22

SHP_30426_1,6.134978,102.249653,23

SHP_30426_1,6.134094,102.244278,24

SHP_30426_1,6.126106,102.242122,25

SHP_30426_1,6.125139,102.240944,26

SHP_30426_1,6.130628,102.24315,27

SHP_30426_1,6.125153,102.238242,28

SHP_30426_1,6.129497,102.242908,29

SHP_30426_1,6.128142,102.239464,30

SHP_30427_1,6.174097,102.323169,1

SHP_30427_1,6.173453,102.320967,2

SHP_30427_1,6.172978,102.319781,3

SHP_30427_1,6.171447,102.315539,4

SHP_30427_1,6.168211,102.309108,5

SHP_30427_1,6.168694,102.304425,6

SHP_30427_1,6.169297,102.301525,7

SHP_30427_1,6.169808,102.296022,8

SHP_30427_1,6.170122,102.294803,9

SHP_30427_1,6.17045,102.2929,10

SHP_30427_1,6.170606,102.289481,11

SHP_30427_1,6.170072,102.284469,12

SHP_30427_1,6.162392,102.277856,13

SHP_30427_1,6.160272,102.276358,14

SHP_30427_1,6.157892,102.275156,15

SHP_30427_1,6.156061,102.273228,16

SHP_30427_1,6.154892,102.271219,17

SHP_30427_1,6.152633,102.269864,18

SHP_30427_1,6.150606,102.269283,19

SHP_30427_1,6.147342,102.267853,20

SHP_30427_1,6.145853,102.267508,21

SHP_30427_1,6.144125,102.266767,22

SHP_30427_1,6.14225,102.265586,23

SHP_30427_1,6.144911,102.259336,24

SHP_30427_1,6.144017,102.251767,25

SHP_30427_1,6.141297,102.245653,26

SHP_30427_1,6.138467,102.245194,27

SHP_30427_1,6.134094,102.244278,28

SHP_30427_1,6.126106,102.242122,29

SHP_30427_1,6.125139,102.240944,30

SHP_30427_1,6.130628,102.24315,31

SHP_30427_1,6.125153,102.238242,32

SHP_30427_1,6.129497,102.242908,33

SHP_30427_1,6.128142,102.239464,34

SHP_30428_1,6.1955,102.27335,1

SHP_30428_1,6.193939,102.272533,2

SHP_30428_1,6.190319,102.271442,3

SHP_30428_1,6.188419,102.268614,4

SHP_30428_1,6.187625,102.267692,5

SHP_30428_1,6.185644,102.264364,6

SHP_30428_1,6.18535,102.261025,7

SHP_30428_1,6.176833,102.254061,8

SHP_30428_1,6.169878,102.251228,9

SHP_30428_1,6.166019,102.249803,10

SHP_30428_1,6.160917,102.246911,11

SHP_30428_1,6.157728,102.245606,12

SHP_30428_1,6.152861,102.244592,13

SHP_30428_1,6.147653,102.239372,14

SHP_30428_1,6.144725,102.236806,15

SHP_30428_1,6.141547,102.235858,16

SHP_30428_1,6.138131,102.237658,17

SHP_30428_1,6.132336,102.236786,18

SHP_30428_1,6.128142,102.239464,19

SHP_30429_1,6.232808,102.092083,1

SHP_30429_1,6.230189,102.095792,2

SHP_30429_1,6.228872,102.098347,3

SHP_30429_1,6.22565,102.103481,4

SHP_30429_1,6.221739,102.109547,5

SHP_30429_1,6.217444,102.111906,6

SHP_30429_1,6.210425,102.110875,7

SHP_30429_1,6.199214,102.107858,8

SHP_30429_1,6.193994,102.107486,9

SHP_30429_1,6.184594,102.109094,10

SHP_30429_1,6.180797,102.119472,11

SHP_30429_1,6.172225,102.13045,12

SHP_30429_1,6.16875,102.141225,13

SHP_30429_1,6.161481,102.150486,14

SHP_30429_1,6.157889,102.152833,15

SHP_30429_1,6.149661,102.160706,16

SHP_30429_1,6.146103,102.163989,17

SHP_30429_1,6.141122,102.167783,18

SHP_30429_1,6.137047,102.172039,19

SHP_30429_1,6.125817,102.181558,20

SHP_30429_1,6.120192,102.188494,21

SHP_30429_1,6.118686,102.197831,22

SHP_30429_1,6.119928,102.199958,23

SHP_30429_1,6.122,102.202133,24

SHP_30429_1,6.120497,102.208842,25

SHP_30429_1,6.118931,102.217358,26

SHP_30429_1,6.118225,102.22035,27

SHP_30429_1,6.116928,102.222919,28

SHP_30429_1,6.116672,102.239419,29

SHP_30429_1,6.116503,102.2405,30

SHP_30429_1,6.118192,102.241778,31

SHP_30429_1,6.119722,102.240775,32

SHP_30429_1,6.121731,102.239672,33

SHP_30429_1,6.122772,102.238867,34

SHP_30429_1,6.128142,102.239464,35

SHP_30430_1,6.232808,102.092083,1

SHP_30430_1,6.230189,102.095792,2

SHP_30430_1,6.228872,102.098347,3

SHP_30430_1,6.22565,102.103481,4

SHP_30430_1,6.221739,102.109547,5

SHP_30430_1,6.2181,102.117472,6

SHP_30430_1,6.217,102.122461,7

SHP_30430_1,6.214578,102.127575,8

SHP_30430_1,6.210447,102.133567,9

SHP_30430_1,6.209328,102.137878,10

SHP_30430_1,6.202078,102.155561,11

SHP_30430_1,6.198506,102.164958,12

SHP_30430_1,6.198758,102.16765,13

SHP_30430_1,6.190061,102.168989,14

SHP_30430_1,6.183378,102.169214,15

SHP_30430_1,6.17874,102.177212,16

SHP_30430_1,6.171322,102.187961,17

SHP_30430_1,6.156011,102.202072,18

SHP_30430_1,6.142147,102.218392,19

SHP_30430_1,6.134742,102.216281,20

SHP_30430_1,6.120497,102.208842,21

SHP_30430_1,6.118931,102.217358,22

SHP_30430_1,6.118225,102.22035,23

SHP_30430_1,6.116928,102.222919,24

SHP_30430_1,6.116672,102.239419,25

SHP_30430_1,6.116503,102.2405,26

SHP_30430_1,6.118192,102.241778,27

SHP_30430_1,6.119722,102.240775,28

SHP_30430_1,6.121731,102.239672,29

SHP_30430_1,6.122772,102.238867,30

SHP_30430_1,6.128142,102.239464,31

SHP_30431_1,6.029278,102.131111,1

SHP_30431_1,6.028756,102.136978,2

SHP_30431_1,6.032219,102.141483,3

SHP_30431_1,6.034072,102.141156,4

SHP_30431_1,6.039408,102.141439,5

SHP_30431_1,6.043456,102.143536,6

SHP_30431_1,6.039656,102.141497,7

SHP_30431_1,6.034036,102.140997,8

SHP_30431_1,6.030747,102.141422,9

SHP_30431_1,6.033686,102.150036,10

SHP_30431_1,6.034358,102.153992,11

SHP_30431_1,6.033411,102.15915,12

SHP_30431_1,6.033019,102.163906,13

SHP_30431_1,6.033733,102.168422,14

SHP_30431_1,6.034747,102.173933,15

SHP_30431_1,6.035436,102.1771,16

SHP_30431_1,6.036347,102.180578,17

SHP_30431_1,6.037231,102.183344,18

SHP_30431_1,6.038247,102.186569,19

SHP_30431_1,6.038769,102.1898,20

SHP_30431_1,6.038964,102.192467,21

SHP_30431_1,6.039142,102.194167,22

SHP_30431_1,6.040778,102.198133,23

SHP_30431_1,6.04245,102.202047,24

SHP_30431_1,6.042453,102.207086,25

SHP_30431_1,6.046547,102.212386,26

SHP_30431_1,6.048739,102.214247,27

SHP_30431_1,6.050244,102.215939,28

SHP_30431_1,6.052353,102.217556,29

SHP_30431_1,6.053578,102.217678,30

SHP_30431_1,6.058044,102.220258,31

SHP_30431_1,6.059264,102.220922,32

SHP_30431_1,6.062414,102.2229,33

SHP_30431_1,6.066975,102.226028,34

SHP_30431_1,6.072656,102.226842,35

SHP_30431_1,6.075986,102.227461,36

SHP_30431_1,6.078894,102.228128,37

SHP_30431_1,6.082728,102.230453,38

SHP_30431_1,6.084019,102.234222,39

SHP_30431_1,6.084658,102.236869,40

SHP_30431_1,6.086647,102.238697,41

SHP_30431_1,6.088078,102.238694,42

SHP_30431_1,6.091614,102.239017,43

SHP_30431_1,6.096431,102.239833,44

SHP_30431_1,6.099453,102.240244,45

SHP_30431_1,6.104586,102.240436,46

SHP_30431_1,6.107222,102.240983,47

SHP_30431_1,6.110972,102.241778,48

SHP_30431_1,6.112972,102.242119,49

SHP_30431_1,6.116031,102.24235,50

SHP_30431_1,6.118192,102.241778,51

SHP_30431_1,6.119722,102.240775,52

SHP_30431_1,6.121731,102.239672,53

SHP_30431_1,6.122772,102.238867,54

SHP_30431_1,6.128142,102.239464,55

SHP_30432_1,6.029278,102.131111,1

SHP_30432_1,6.028756,102.136978,2

SHP_30432_1,6.030747,102.141422,3

SHP_30432_1,6.034036,102.140997,4

SHP_30432_1,6.039656,102.141497,5

SHP_30432_1,6.043456,102.143536,6

SHP_30432_1,6.046742,102.142556,7

SHP_30432_1,6.047961,102.140614,8

SHP_30432_1,6.049881,102.135114,9

SHP_30432_1,6.050475,102.133072,10

SHP_30432_1,6.052211,102.128744,11

SHP_30432_1,6.051722,102.117483,12

SHP_30432_1,6.051878,102.115536,13

SHP_30432_1,6.051486,102.112342,14

SHP_30432_1,6.051186,102.105461,15

SHP_30432_1,6.053508,102.100086,16

SHP_30432_1,6.055069,102.096767,17

SHP_30432_1,6.057839,102.092606,18

SHP_30432_1,6.059319,102.08985,19

SHP_30432_1,6.062556,102.080936,20

SHP_30432_1,6.063569,102.079675,21

SHP_30432_1,6.069892,102.079297,22

SHP_30432_1,6.075994,102.083303,23

SHP_30432_1,6.079583,102.088758,24

SHP_30432_1,6.084194,102.096172,25

SHP_30432_1,6.086203,102.097956,26

SHP_30432_1,6.092081,102.100967,27

SHP_30432_1,6.096236,102.102375,28

SHP_30432_1,6.100544,102.106828,29

SHP_30432_1,6.104114,102.107336,30

SHP_30432_1,6.114242,102.115475,31

SHP_30432_1,6.11765,102.118933,32

SHP_30432_1,6.115453,102.12015,33

SHP_30432_1,6.110086,102.123222,34

SHP_30432_1,6.107811,102.128803,35

SHP_30432_1,6.107525,102.137344,36

SHP_30432_1,6.106833,102.140553,37

SHP_30432_1,6.106164,102.145728,38

SHP_30432_1,6.105864,102.148378,39

SHP_30432_1,6.105808,102.154861,40

SHP_30432_1,6.105572,102.156619,41

SHP_30432_1,6.105514,102.159161,42

SHP_30432_1,6.102336,102.164997,43

SHP_30432_1,6.099128,102.169681,44

SHP_30432_1,6.097489,102.173703,45

SHP_30432_1,6.095561,102.176142,46

SHP_30432_1,6.091339,102.177886,47

SHP_30432_1,6.089647,102.178903,48

SHP_30432_1,6.086803,102.180597,49

SHP_30432_1,6.082531,102.184856,50

SHP_30432_1,6.078456,102.189669,51

SHP_30432_1,6.076581,102.191725,52

SHP_30432_1,6.074578,102.194117,53

SHP_30432_1,6.072869,102.197986,54

SHP_30432_1,6.068861,102.203261,55

SHP_30432_1,6.068553,102.206456,56

SHP_30432_1,6.072706,102.207728,57

SHP_30432_1,6.076656,102.208522,58

SHP_30432_1,6.083381,102.207094,59

SHP_30432_1,6.089722,102.207819,60

SHP_30432_1,6.094517,102.208653,61

SHP_30432_1,6.099367,102.209894,62

SHP_30432_1,6.104497,102.211517,63

SHP_30432_1,6.109353,102.212892,64

SHP_30432_1,6.112114,102.213722,65

SHP_30432_1,6.116097,102.214839,66

SHP_30432_1,6.117617,102.215356,67

SHP_30432_1,6.118931,102.217358,68

SHP_30432_1,6.118225,102.22035,69

SHP_30432_1,6.116928,102.222919,70

SHP_30432_1,6.116672,102.239419,71

SHP_30432_1,6.116503,102.2405,72

SHP_30432_1,6.118192,102.241778,73

SHP_30432_1,6.119722,102.240775,74

SHP_30432_1,6.121731,102.239672,75

SHP_30432_1,6.122772,102.238867,76

SHP_30432_1,6.128142,102.239464,77
