route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
30425,WEEKDAY,241_0_WD_1,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_2,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_3,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_4,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_5,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_6,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_7,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_8,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_9,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_10,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_11,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_12,SHP_30425_0,D10,0
30425,WEEKDAY,241_0_WD_13,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_1,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_2,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_3,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_4,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_5,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_6,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_7,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_8,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_9,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_10,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_11,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_12,SHP_30425_0,D10,0
30425,WEEKEND,241_0_WE_13,SHP_30425_0,D10,0
30425,WEEKDAY,241_1_WD_1,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_2,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_3,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_4,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_5,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_6,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_7,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_8,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_9,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_10,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_11,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_12,SHP_30425_1,D10,1
30425,WEEKDAY,241_1_WD_13,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_1,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_2,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_3,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_4,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_5,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_6,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_7,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_8,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_9,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_10,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_11,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_12,SHP_30425_1,D10,1
30425,WEEKEND,241_1_WE_13,SHP_30425_1,D10,1
30426,WEEKDAY,242_0_WD_1,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_2,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_3,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_4,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_5,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_6,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_7,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_8,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_9,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_10,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_11,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_12,SHP_30426_0,D11,0
30426,WEEKDAY,242_0_WD_13,SHP_30426_0,D11,0
30426,WEEKEND,242_0_WE_1,SHP_30426_0,D11,0
30426,WEEKEND,242_0_WE_2,SHP_30426_0,D11,0
